,,,,,UKCP09,,,UKCP18,,,Difference,,
2030-2059,temp,dmean,jan,Northern Scotland,0.14198764,1.4048337,2.783173,-0.14053407,1.1982461,2.5927906,-0.28252171,-0.2065876,-0.1903824
2030-2059,temp,dmean,jan,South East England,0.59602594,1.9453495,3.4994256,0.11277553,1.4239821,2.8396084,-0.48325041,-0.5213674,-0.6598172
2030-2059,temp,dmean,jan,South West England,0.60351187,1.8059735,3.2090042,-0.12756535,1.2364278,2.632948,-0.73107722,-0.5695457,-0.5760562
2030-2059,temp,dmean,jan,Wales,0.592652,1.7735387,3.1513867,-0.104598984,1.2486093,2.6245227,-0.697250984,-0.5249294,-0.526864
2030-2059,temp,dmean,jan,West Midlands,0.6115399,1.8342468,3.2601452,-0.09361904,1.2838001,2.6907525,-0.70515894,-0.5504467,-0.5693927
2030-2059,temp,dmean,jan,Western Scotland,0.5411063,1.6922538,3.0209904,-0.06939516,1.2246156,2.5622602,-0.61050146,-0.4676382,-0.4587302
2030-2059,temp,dmean,jan,Yorkshire and Humberside,0.5617629,1.8847387,3.4027002,0.0913603,1.404761,2.8066626,-0.4704026,-0.4799777,-0.5960376
2030-2059,temp,dmin,jan,Channel Islands,0.731896,2.0985177,3.699625,-0.21069099,1.1532166,2.567751,-0.94258699,-0.9453011,-1.131874
2030-2059,temp,dmin,jan,East Midlands,0.6445744,2.051138,3.6857464,-0.14306518,1.2039018,2.585845,-0.78763958,-0.8472362,-1.0999014
2030-2059,temp,dmin,jan,East of England,0.6887877,2.1233106,3.7993581,0.112093255,1.3583984,2.7139003,-0.576694445,-0.7649122,-1.0854578
2030-2059,temp,dmin,jan,Eastern Scotland,0.119087346,1.4921778,2.975761,-0.26658422,1.221264,2.756916,-0.385671566,-0.2709138,-0.218845
2030-2059,temp,dmin,jan,Isle of Man,0.5011245,1.6729124,3.0138955,-0.15538494,1.1037832,2.3682709,-0.65650944,-0.5691292,-0.6456246
2030-2059,temp,dmin,jan,London,0.6885545,2.133091,3.8174636,-0.12802033,1.2360969,2.6460247,-0.81657483,-0.8969941,-1.1714389
2030-2059,temp,dmin,jan,North East England,0.5227339,1.8045878,3.2726824,-0.16181538,1.1785791,2.5417178,-0.68454928,-0.6260087,-0.7309646
2030-2059,temp,dmin,jan,North West England,0.55179864,1.8081658,3.2572951,-0.17749909,1.1881094,2.5781198,-0.72929773,-0.6200564,-0.6791753
2030-2059,temp,dmin,jan,Northern Ireland,0.36898744,1.6335399,3.0839057,-0.16613807,1.1136142,2.4169104,-0.53512551,-0.5199257,-0.6669953
2030-2059,temp,dmin,jan,Northern Scotland,0.10042995,1.4572344,2.8960752,-0.26092434,1.2237964,2.724304,-0.36135429,-0.233438,-0.1717712
2030-2059,temp,dmin,jan,South East England,0.69664335,2.1473448,3.8551812,-0.15380788,1.2172529,2.6388817,-0.85045123,-0.9300919,-1.2162995
2030-2059,temp,dmin,jan,South West England,0.69279796,2.0797133,3.7163959,-0.18007724,1.1820874,2.5922563,-0.8728752,-0.8976259,-1.1241396
2030-2059,temp,dmin,jan,Wales,0.6649019,2.011991,3.605753,-0.15915242,1.1773144,2.5462086,-0.82405432,-0.8346766,-1.0595444
2030-2059,temp,dmin,jan,West Midlands,0.69333005,2.0638173,3.6730042,-0.14534427,1.2069803,2.5961366,-0.83867432,-0.856837,-1.0768676
2030-2059,temp,dmin,jan,Western Scotland,0.5404456,1.8169913,3.2953334,-0.15663105,1.2146748,2.5955932,-0.69707665,-0.6023165,-0.6997402
2030-2059,temp,dmin,jan,Yorkshire and Humberside,0.62913346,2.0167737,3.62088,-0.16092837,1.1855842,2.5522058,-0.79006183,-0.8311895,-1.0686742
2030-2059,precip,dmean,jan,Channel Islands,-12.456653,6.989169,31.931015,-17.403685,4.616618,26.48698,-4.947032,-2.372551,-5.444035
